pmid	query	search_type	page	covid
33658617	Akt/PKB signalling pathway	pubdate_desc	2	False
33113244	Akt/PKB signalling pathway	pubdate_desc	2	False
33385405	Akt/PKB signalling pathway	pubdate_desc	2	False
33393983	Akt/PKB signalling pathway	pubdate_desc	2	False
33615993	Akt/PKB signalling pathway	pubdate_desc	2	False
33531984	Akt/PKB signalling pathway	pubdate_desc	2	False
17604717	Akt/PKB signalling pathway	relevance	1	False
24794538	Akt/PKB signalling pathway	relevance	1	False
16603397	Akt/PKB signalling pathway	relevance	1	False
11882383	Akt/PKB signalling pathway	relevance	1	False
15784165	Akt/PKB signalling pathway	relevance	1	False
32502837	Akt/PKB signalling pathway	relevance	1	False
30741586	Akt/PKB signalling pathway	relevance	1	False
16288295	Akt/PKB signalling pathway	relevance	1	False
20515819	Akt/PKB signalling pathway	relevance	1	False
33019927	Akt/PKB signalling pathway	relevance	1	False
23297823	Akt/PKB signalling pathway	relevance	2	False
26348913	Akt/PKB signalling pathway	relevance	2	False
26071042	Akt/PKB signalling pathway	relevance	2	False
24800899	Akt/PKB signalling pathway	relevance	2	False
15569636	Akt/PKB signalling pathway	relevance	2	False
18288941	Akt/PKB signalling pathway	relevance	2	False
14619975	Akt/PKB signalling pathway	relevance	2	False
23971717	Akt/PKB signalling pathway	relevance	2	False
32271398	Akt/PKB signalling pathway	relevance	2	False
33113244	Akt/PKB signalling pathway	relevance	2	False
34905301	Antisynthetase syndrome	pubdate_desc	1	False
35504143	Antisynthetase syndrome	pubdate_desc	1	False
34767470	Antisynthetase syndrome	pubdate_desc	1	False
35512205	Antisynthetase syndrome	pubdate_desc	1	False
35349417	Antisynthetase syndrome	pubdate_desc	1	False
35349404	Antisynthetase syndrome	pubdate_desc	1	False
35514779	Antisynthetase syndrome	pubdate_desc	1	False
35412608	Antisynthetase syndrome	pubdate_desc	1	False
35394612	Antisynthetase syndrome	pubdate_desc	1	False
35369881	Antisynthetase syndrome	pubdate_desc	1	False
35064929	Antisynthetase syndrome	pubdate_desc	2	False
33449840	Antisynthetase syndrome	pubdate_desc	2	True
35351756	Antisynthetase syndrome	pubdate_desc	2	True
35256373	Antisynthetase syndrome	pubdate_desc	2	False
35434024	Antisynthetase syndrome	pubdate_desc	2	False
35067505	Antisynthetase syndrome	pubdate_desc	2	False
34953656	Antisynthetase syndrome	pubdate_desc	2	False
34718893	Antisynthetase syndrome	pubdate_desc	2	False
34262005	Antisynthetase syndrome	pubdate_desc	2	False
35251701	Antisynthetase syndrome	pubdate_desc	2	False
32284267	Antisynthetase syndrome	relevance	1	False
33360231	Antisynthetase syndrome	relevance	1	False
31503025	Antisynthetase syndrome	relevance	1	False
35382516	Antisynthetase syndrome	relevance	1	False
21455765	Antisynthetase syndrome	relevance	1	False
30239350	Antisynthetase syndrome	relevance	1	False
12814758	Antisynthetase syndrome	relevance	1	False
29196375	Antisynthetase syndrome	relevance	1	False
32675964	Antisynthetase syndrome	relevance	1	False
32884802	Antisynthetase syndrome	relevance	1	False
24424190	Antisynthetase syndrome	relevance	2	False
25981806	Antisynthetase syndrome	relevance	2	False
33547779	Antisynthetase syndrome	relevance	2	True
31344020	Antisynthetase syndrome	relevance	2	False
34148050	Antisynthetase syndrome	relevance	2	False
34330355	Antisynthetase syndrome	relevance	2	False
32697139	Antisynthetase syndrome	relevance	2	False
33561828	Antisynthetase syndrome	relevance	2	False
31331671	Antisynthetase syndrome	relevance	2	False
31743267	Antisynthetase syndrome	relevance	2	False
35464814	Athletic Tape	pubdate_desc	1	False
35255287	Athletic Tape	pubdate_desc	1	False
33768777	Athletic Tape	pubdate_desc	1	False
35500968	Athletic Tape	pubdate_desc	1	False
35245895	Athletic Tape	pubdate_desc	1	False
35238494	Athletic Tape	pubdate_desc	1	False
35100210	Athletic Tape	pubdate_desc	1	False
34837528	Athletic Tape	pubdate_desc	1	False
35371366	Athletic Tape	pubdate_desc	1	False
35512165	Athletic Tape	pubdate_desc	1	False
35337727	Athletic Tape	pubdate_desc	2	False
34731832	Athletic Tape	pubdate_desc	2	False
34713770	Athletic Tape	pubdate_desc	2	False
34672833	Athletic Tape	pubdate_desc	2	False
35227229	Athletic Tape	pubdate_desc	2	False
35202065	Athletic Tape	pubdate_desc	2	False
35183232	Athletic Tape	pubdate_desc	2	False
35139848	Athletic Tape	pubdate_desc	2	False
34974277	Athletic Tape	pubdate_desc	2	False
34657327	Athletic Tape	pubdate_desc	2	False
29248350	Athletic Tape	relevance	1	False
29901599	Athletic Tape	relevance	1	False
28617653	Athletic Tape	relevance	1	False
28035911	Athletic Tape	relevance	1	False
29087112	Athletic Tape	relevance	1	False
28169413	Athletic Tape	relevance	1	False
21518313	Athletic Tape	relevance	1	False
29925502	Athletic Tape	relevance	1	False
22124445	Athletic Tape	relevance	1	False
24867905	Athletic Tape	relevance	1	False
26376953	Athletic Tape	relevance	2	False
32580577	Athletic Tape	relevance	2	False
27634093	Athletic Tape	relevance	2	False
29308967	Athletic Tape	relevance	2	False
31088546	Athletic Tape	relevance	2	False
33155484	Athletic Tape	relevance	2	False
30176379	Athletic Tape	relevance	2	False
29316902	Athletic Tape	relevance	2	False
23558699	Athletic Tape	relevance	2	False
32367880	Athletic Tape	relevance	2	False
35586678	Autoimmune pancreatitis	pubdate_desc	1	False
35257202	Autoimmune pancreatitis	pubdate_desc	1	False
35189464	Autoimmune pancreatitis	pubdate_desc	1	False
35175447	Autoimmune pancreatitis	pubdate_desc	1	False
33820756	Autoimmune pancreatitis	pubdate_desc	1	False
35596263	Autoimmune pancreatitis	pubdate_desc	1	False
35576564	Autoimmune pancreatitis	pubdate_desc	1	False
34744111	Autoimmune pancreatitis	pubdate_desc	1	False
34670874	Autoimmune pancreatitis	pubdate_desc	1	False
35526270	Autoimmune pancreatitis	pubdate_desc	1	False
35527030	Autoimmune pancreatitis	pubdate_desc	2	False
35505465	Autoimmune pancreatitis	pubdate_desc	2	False
35379557	Autoimmune pancreatitis	pubdate_desc	2	False
35303492	Autoimmune pancreatitis	pubdate_desc	2	False
35486167	Autoimmune pancreatitis	pubdate_desc	2	False
35558377	Autoimmune pancreatitis	pubdate_desc	2	False
35487851	Autoimmune pancreatitis	pubdate_desc	2	False
35548476	Autoimmune pancreatitis	pubdate_desc	2	False
35465817	Autoimmune pancreatitis	pubdate_desc	2	False
35435857	Autoimmune pancreatitis	pubdate_desc	2	False
31650376	Autoimmune pancreatitis	relevance	1	False
30713326	Autoimmune pancreatitis	relevance	1	False
31791461	Autoimmune pancreatitis	relevance	1	False
34135159	Autoimmune pancreatitis	relevance	1	False
28365915	Autoimmune pancreatitis	relevance	1	False
31905944	Autoimmune pancreatitis	relevance	1	False
27294040	Autoimmune pancreatitis	relevance	1	False
32805624	Autoimmune pancreatitis	relevance	1	False
32618613	Autoimmune pancreatitis	relevance	1	False
25799073	Autoimmune pancreatitis	relevance	1	False
31712867	Autoimmune pancreatitis	relevance	2	False
33833754	Autoimmune pancreatitis	relevance	2	False
24193862	Autoimmune pancreatitis	relevance	2	False
34280553	Autoimmune pancreatitis	relevance	2	False
18206818	Autoimmune pancreatitis	relevance	2	False
17490850	Autoimmune pancreatitis	relevance	2	False
17541445	Autoimmune pancreatitis	relevance	2	False
34755227	Autoimmune pancreatitis	relevance	2	False
34321847	Autoimmune pancreatitis	relevance	2	False
17701958	Autoimmune pancreatitis	relevance	2	False
35546539	Bacillus anthracis	pubdate_desc	1	False
34842509	Bacillus anthracis	pubdate_desc	1	False
35452990	Bacillus anthracis	pubdate_desc	1	False
35499330	Bacillus anthracis	pubdate_desc	1	False
35590480	Bacillus anthracis	pubdate_desc	1	False
35575735	Bacillus anthracis	pubdate_desc	1	False
35304125	Bacillus anthracis	pubdate_desc	1	False
29999865	Bacillus anthracis	pubdate_desc	1	
35552506	Bacillus anthracis	pubdate_desc	1	False
35549771	Bacillus anthracis	pubdate_desc	1	False
35306427	Bacillus anthracis	pubdate_desc	2	False
35569405	Bacillus anthracis	pubdate_desc	2	False
29939550	Bacillus anthracis	pubdate_desc	2	
35114377	Bacillus anthracis	pubdate_desc	2	False
34342700	Bacillus anthracis	pubdate_desc	2	False
35591130	Bacillus anthracis	pubdate_desc	2	False
35565571	Bacillus anthracis	pubdate_desc	2	False
35475639	Bacillus anthracis	pubdate_desc	2	False
35138121	Bacillus anthracis	pubdate_desc	2	False
35454225	Bacillus anthracis	pubdate_desc	2	False
26195305	Bacillus anthracis	relevance	1	False
34096779	Bacillus anthracis	relevance	1	False
19654018	Bacillus anthracis	relevance	1	False
19729033	Bacillus anthracis	relevance	1	False
29935338	Bacillus anthracis	relevance	1	False
25327200	Bacillus anthracis	relevance	1	False
34490836	Bacillus anthracis	relevance	1	False
26542035	Bacillus anthracis	relevance	1	False
21640849	Bacillus anthracis	relevance	1	False
33174903	Bacillus anthracis	relevance	1	False
17661631	Bacillus anthracis	relevance	2	False
16318691	Bacillus anthracis	relevance	2	False
32853741	Bacillus anthracis	relevance	2	False
19824790	Bacillus anthracis	relevance	2	False
20399814	Bacillus anthracis	relevance	2	False
16108911	Bacillus anthracis	relevance	2	False
18375178	Bacillus anthracis	relevance	2	False
11951140	Bacillus anthracis	relevance	2	False
29145870	Bacillus anthracis	relevance	2	False
19720074	Bacillus anthracis	relevance	2	False
35524009	Baclofen	pubdate_desc	1	False
35189132	Baclofen	pubdate_desc	1	False
35597797	Baclofen	pubdate_desc	1	False
35367591	Baclofen	pubdate_desc	1	False
35481849	Baclofen	pubdate_desc	1	False
35357690	Baclofen	pubdate_desc	1	False
35314493	Baclofen	pubdate_desc	1	False
35238164	Baclofen	pubdate_desc	1	False
35597734	Baclofen	pubdate_desc	1	False
35597434	Baclofen	pubdate_desc	1	False
35594048	Baclofen	pubdate_desc	2	False
35587085	Baclofen	pubdate_desc	2	False
35421022	Baclofen	pubdate_desc	2	False
35398998	Baclofen	pubdate_desc	2	False
35276541	Baclofen	pubdate_desc	2	False
35123084	Baclofen	pubdate_desc	2	False
30252293	Baclofen	pubdate_desc	2	
35272143	Baclofen	pubdate_desc	2	False
35487644	Baclofen	pubdate_desc	2	False
35445777	Baclofen	pubdate_desc	2	False
34607587	Baclofen	relevance	1	False
30898271	Baclofen	relevance	1	False
